Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
4751,08-04-2025,07-04-2025,07-04-2025 19:30,Kolkata,104,Cyber Crime,44,M,None,Other Crime,7,1,14-06-2025
4752,14-12-2024,11-12-2024,11-12-2024 03:37,Mumbai,101,Theft,36,M,None,Property Crime,3,1,20-05-2025
4753,19-06-2025,18-06-2025,18-06-2025 14:11,Ludhiana,100,Assault,21,M,None,Violent Crime,4,1,25-07-2025
4754,05-04-2025,05-04-2025,05-04-2025 21:22,Bangalore,102,Robbery,29,F,Knife,Property Crime,4,1,19-06-2025
4755,02-12-2024,02-12-2024,02-12-2024 21:44,Mumbai,100,Assault,29,F,Blunt Object,Violent Crime,5,0,
4756,04-07-2025,02-07-2025,02-07-2025 00:41,Delhi,101,Theft,24,M,None,Property Crime,6,1,28-07-2025
4757,17-09-2024,17-09-2024,17-09-2024 09:43,Hyderabad,104,Cyber Crime,33,M,None,Other Crime,3,0,
4758,05-10-2024,03-10-2024,03-10-2024 09:11,Pune,100,Assault,27,F,Knife,Violent Crime,7,1,23-11-2024
4759,25-04-2025,23-04-2025,23-04-2025 02:42,Hyderabad,103,Homicide,19,M,Knife,Violent Crime,15,0,
4760,13-05-2025,11-05-2025,11-05-2025 21:39,Delhi,100,Assault,44,M,Knife,Violent Crime,6,1,05-08-2025
4761,17-11-2024,16-11-2024,16-11-2024 18:36,Delhi,107,Terrorism,35,M,Explosives,Violent Crime,20,0,
4762,13-09-2024,11-09-2024,11-09-2024 22:22,Bangalore,105,Vandalism,16,F,Other,Property Crime,4,1,03-08-2025
4763,17-11-2024,17-11-2024,17-11-2024 22:12,Bangalore,102,Robbery,18,F,Blunt Object,Property Crime,6,1,15-06-2025
4764,24-12-2024,24-12-2024,24-12-2024 19:11,Hyderabad,102,Robbery,45,M,Blunt Object,Property Crime,3,0,
4765,06-09-2024,05-09-2024,05-09-2024 03:16,Bangalore,101,Theft,44,F,None,Property Crime,4,0,
4766,15-12-2024,15-12-2024,15-12-2024 23:09,Ludhiana,105,Vandalism,33,M,None,Property Crime,2,0,
4767,22-08-2024,20-08-2024,20-08-2024 18:46,Chennai,102,Robbery,30,M,Firearm,Property Crime,10,1,25-08-2024
4768,08-11-2024,07-11-2024,07-11-2024 11:38,Mumbai,107,Terrorism,19,M,Explosives,Violent Crime,20,0,
4769,13-10-2024,13-10-2024,13-10-2024 19:09,Kolkata,105,Vandalism,32,F,Other,Property Crime,8,1,17-01-2025
4770,29-06-2025,28-06-2025,28-06-2025 01:37,Bangalore,103,Homicide,24,M,Poison,Violent Crime,15,1,29-06-2025
4771,22-05-2025,19-05-2025,19-05-2025 21:13,Delhi,102,Robbery,22,M,Knife,Property Crime,2,1,30-05-2025
4772,01-08-2025,29-07-2025,29-07-2025 23:24,Ahmedabad,100,Assault,33,M,Knife,Violent Crime,2,0,
4773,17-03-2025,15-03-2025,15-03-2025 23:11,Ahmedabad,100,Assault,20,M,None,Violent Crime,4,0,
4774,10-02-2025,08-02-2025,08-02-2025 13:58,Pune,100,Assault,34,M,Blunt Object,Violent Crime,5,0,
4775,03-11-2024,31-10-2024,31-10-2024 14:34,Mumbai,101,Theft,41,M,None,Property Crime,4,0,
4776,03-07-2025,30-06-2025,30-06-2025 00:01,Mumbai,101,Theft,34,F,None,Property Crime,4,0,
4777,28-01-2025,26-01-2025,26-01-2025 12:15,Bangalore,104,Cyber Crime,31,M,None,Other Crime,6,0,
4778,07-08-2025,05-08-2025,05-08-2025 00:20,Chennai,103,Homicide,30,M,Knife,Violent Crime,15,0,
4779,10-11-2024,10-11-2024,10-11-2024 20:38,Bangalore,102,Robbery,28,M,Firearm,Property Crime,10,0,
4780,22-09-2024,19-09-2024,19-09-2024 09:59,Delhi,101,Theft,10,F,None,Property Crime,7,1,24-10-2024
4781,18-04-2025,16-04-2025,16-04-2025 23:46,Delhi,100,Assault,29,M,Knife,Violent Crime,2,0,
4782,20-03-2025,17-03-2025,17-03-2025 00:26,Kolkata,100,Assault,14,M,None,Violent Crime,3,1,24-03-2025
4783,18-01-2025,17-01-2025,17-01-2025 03:12,Delhi,100,Assault,29,M,Blunt Object,Violent Crime,5,0,
4784,01-01-2025,01-01-2025,01-01-2025 03:20,Delhi,101,Theft,18,M,None,Property Crime,4,1,11-02-2025
4785,17-04-2025,16-04-2025,16-04-2025 03:49,Bangalore,101,Theft,30,M,Other,Property Crime,7,1,25-05-2025
4786,08-11-2024,08-11-2024,08-11-2024 18:49,Mumbai,101,Theft,15,F,None,Property Crime,4,1,27-11-2024
4787,16-08-2024,15-08-2024,15-08-2024 22:15,Bangalore,102,Robbery,45,M,Blunt Object,Property Crime,5,1,16-11-2024
4788,20-03-2025,20-03-2025,20-03-2025 19:30,Mumbai,101,Theft,45,F,None,Property Crime,3,1,03-04-2025
4789,04-05-2025,01-05-2025,01-05-2025 17:44,Mumbai,101,Theft,27,M,None,Property Crime,3,0,
4790,26-09-2024,26-09-2024,26-09-2024 10:41,Kolkata,101,Theft,46,M,Other,Property Crime,8,0,
4791,05-05-2025,03-05-2025,03-05-2025 02:20,Chennai,102,Robbery,32,F,Blunt Object,Property Crime,5,1,15-05-2025
4792,01-09-2024,31-08-2024,31-08-2024 14:16,Kolkata,100,Assault,16,M,Blunt Object,Violent Crime,4,0,
4793,14-02-2025,11-02-2025,11-02-2025 23:03,Ahmedabad,103,Homicide,38,F,Firearm,Violent Crime,15,1,18-06-2025
4794,11-11-2024,10-11-2024,10-11-2024 16:46,Bangalore,103,Homicide,27,F,Poison,Violent Crime,15,0,
4795,02-07-2025,30-06-2025,30-06-2025 02:29,Hyderabad,105,Vandalism,28,M,Other,Property Crime,8,0,
4796,17-06-2025,15-06-2025,15-06-2025 12:27,Delhi,101,Theft,21,M,Other,Property Crime,6,1,05-07-2025
4797,22-10-2024,19-10-2024,19-10-2024 19:49,Pune,106,Kidnapping,25,M,None,Violent Crime,5,0,
4798,28-02-2025,28-02-2025,28-02-2025 16:15,Mumbai,103,Homicide,31,M,Knife,Violent Crime,15,0,
4799,28-06-2025,28-06-2025,28-06-2025 20:23,Ahmedabad,106,Kidnapping,29,F,None,Violent Crime,3,0,
4800,08-03-2025,05-03-2025,05-03-2025 02:03,Mumbai,100,Assault,38,M,None,Violent Crime,4,0,
4801,07-03-2025,07-03-2025,07-03-2025 00:59,Delhi,103,Homicide,47,M,Poison,Violent Crime,15,1,12-03-2025
4802,16-04-2025,15-04-2025,15-04-2025 01:37,Mumbai,101,Theft,33,M,None,Property Crime,7,0,
4803,25-07-2025,22-07-2025,22-07-2025 21:44,Delhi,107,Terrorism,32,M,Firearm,Violent Crime,20,0,
4804,13-11-2024,10-11-2024,10-11-2024 14:04,Delhi,100,Assault,52,M,Knife,Violent Crime,3,0,
4805,25-07-2025,25-07-2025,25-07-2025 09:46,Hyderabad,100,Assault,28,M,None,Violent Crime,5,0,
4806,10-08-2024,07-08-2024,07-08-2024 09:19,Delhi,100,Assault,35,F,Blunt Object,Violent Crime,8,0,
4807,15-08-2024,13-08-2024,13-08-2024 21:09,Delhi,104,Cyber Crime,23,F,None,Other Crime,6,1,02-01-2025
4808,07-09-2024,06-09-2024,06-09-2024 02:48,Chennai,101,Theft,44,F,Other,Property Crime,6,1,11-06-2025
4809,27-03-2025,27-03-2025,27-03-2025 00:25,Bangalore,101,Theft,33,M,Other,Property Crime,3,1,30-04-2025
4810,17-03-2025,15-03-2025,15-03-2025 18:39,Hyderabad,100,Assault,28,M,Blunt Object,Violent Crime,7,1,24-07-2025
4811,01-11-2024,31-10-2024,31-10-2024 01:05,Bangalore,100,Assault,40,M,Knife,Violent Crime,6,0,
4812,02-05-2025,30-04-2025,30-04-2025 19:33,Bangalore,104,Cyber Crime,10,F,None,Other Crime,3,1,20-06-2025
4813,07-03-2025,07-03-2025,07-03-2025 22:55,Kolkata,101,Theft,20,F,Other,Property Crime,7,0,
4814,11-11-2024,10-11-2024,10-11-2024 21:19,Bangalore,102,Robbery,22,F,Blunt Object,Property Crime,3,1,23-12-2024
4815,30-03-2025,29-03-2025,29-03-2025 13:16,Jaipur,101,Theft,20,M,None,Property Crime,6,0,
4816,12-09-2024,09-09-2024,09-09-2024 09:02,Chennai,102,Robbery,36,M,Firearm,Property Crime,10,0,
4817,01-04-2025,29-03-2025,29-03-2025 01:29,Ahmedabad,101,Theft,27,M,Other,Property Crime,4,0,
4818,03-10-2024,30-09-2024,30-09-2024 16:10,Hyderabad,104,Cyber Crime,31,F,None,Other Crime,2,1,18-11-2024
4819,22-12-2024,22-12-2024,22-12-2024 11:53,Pune,102,Robbery,32,F,Firearm,Property Crime,10,1,19-03-2025
4820,12-09-2024,12-09-2024,12-09-2024 03:41,Bangalore,102,Robbery,34,F,Knife,Property Crime,5,1,22-12-2024
4821,09-03-2025,06-03-2025,06-03-2025 10:45,Ahmedabad,101,Theft,41,M,Other,Property Crime,2,1,04-05-2025
4822,27-01-2025,26-01-2025,26-01-2025 12:06,Hyderabad,107,Terrorism,41,F,Firearm,Violent Crime,20,0,
4823,14-12-2024,11-12-2024,11-12-2024 12:42,Delhi,104,Cyber Crime,13,M,None,Other Crime,6,1,10-05-2025
4824,26-11-2024,23-11-2024,23-11-2024 21:29,Chennai,107,Terrorism,20,M,Explosives,Violent Crime,20,0,
4825,18-06-2025,16-06-2025,16-06-2025 03:50,Delhi,106,Kidnapping,21,M,Blunt Object,Violent Crime,6,1,08-07-2025
4826,20-11-2024,18-11-2024,18-11-2024 18:14,Mumbai,103,Homicide,33,M,Knife,Violent Crime,15,1,20-03-2025
4827,21-03-2025,20-03-2025,20-03-2025 09:13,Mumbai,101,Theft,20,F,None,Property Crime,7,0,
4828,16-07-2025,14-07-2025,14-07-2025 00:04,Mumbai,106,Kidnapping,31,M,None,Violent Crime,2,0,
4829,04-06-2025,03-06-2025,03-06-2025 14:52,Chennai,102,Robbery,29,F,Firearm,Property Crime,10,0,
4830,18-05-2025,18-05-2025,18-05-2025 13:02,Delhi,101,Theft,23,M,None,Property Crime,2,0,
4831,29-12-2024,27-12-2024,27-12-2024 10:28,Delhi,100,Assault,26,F,None,Violent Crime,2,1,25-04-2025
4832,18-09-2024,17-09-2024,17-09-2024 16:52,Bangalore,107,Terrorism,30,F,Firearm,Violent Crime,20,1,16-03-2025
4833,09-11-2024,06-11-2024,06-11-2024 22:31,Delhi,102,Robbery,16,M,Knife,Property Crime,2,1,07-04-2025
4834,06-10-2024,06-10-2024,06-10-2024 20:08,Mumbai,102,Robbery,33,M,Firearm,Property Crime,10,0,
4835,29-07-2025,29-07-2025,29-07-2025 11:53,Pune,102,Robbery,34,F,Blunt Object,Property Crime,7,0,
4836,06-12-2024,05-12-2024,05-12-2024 12:52,Mumbai,102,Robbery,23,F,Blunt Object,Property Crime,8,1,18-03-2025
4837,28-11-2024,28-11-2024,28-11-2024 17:50,Bangalore,103,Homicide,26,M,Knife,Violent Crime,15,0,
4838,15-08-2024,15-08-2024,15-08-2024 15:52,Hyderabad,107,Terrorism,19,F,Firearm,Violent Crime,20,0,
4839,09-06-2025,07-06-2025,07-06-2025 23:44,Mumbai,101,Theft,43,M,None,Property Crime,8,1,02-08-2025
4840,22-12-2024,19-12-2024,19-12-2024 12:58,Delhi,101,Theft,36,F,Other,Property Crime,5,0,
4841,13-06-2025,12-06-2025,12-06-2025 19:16,Delhi,103,Homicide,10,M,Firearm,Violent Crime,15,1,28-07-2025
4842,04-08-2025,01-08-2025,01-08-2025 23:43,Bangalore,105,Vandalism,24,M,Other,Property Crime,3,0,
4843,03-11-2024,02-11-2024,02-11-2024 21:54,Delhi,102,Robbery,31,M,Knife,Property Crime,2,1,24-04-2025
4844,16-06-2025,16-06-2025,16-06-2025 00:00,Hyderabad,105,Vandalism,40,F,None,Property Crime,4,0,
4845,14-07-2025,12-07-2025,12-07-2025 01:02,Chennai,102,Robbery,48,M,Firearm,Property Crime,10,0,
4846,08-12-2024,06-12-2024,06-12-2024 03:24,Bangalore,101,Theft,26,F,None,Property Crime,7,0,
4847,03-01-2025,03-01-2025,03-01-2025 01:36,Mumbai,100,Assault,36,M,Blunt Object,Violent Crime,6,1,15-02-2025
4848,23-12-2024,21-12-2024,21-12-2024 22:09,Delhi,101,Theft,34,M,None,Property Crime,2,0,
4849,17-07-2025,17-07-2025,17-07-2025 22:27,Bangalore,101,Theft,17,M,Other,Property Crime,6,1,19-07-2025
4850,11-12-2024,08-12-2024,08-12-2024 14:02,Bangalore,102,Robbery,42,M,Firearm,Property Crime,10,0,
4851,15-03-2025,15-03-2025,15-03-2025 18:43,Jaipur,101,Theft,34,M,None,Property Crime,3,1,23-03-2025
4852,01-08-2025,30-07-2025,30-07-2025 02:27,Bangalore,104,Cyber Crime,36,M,None,Other Crime,8,1,31-07-2025
4853,26-01-2025,24-01-2025,24-01-2025 15:39,Hyderabad,104,Cyber Crime,35,M,None,Other Crime,4,0,
4854,10-04-2025,10-04-2025,10-04-2025 23:32,Pune,101,Theft,49,M,None,Property Crime,7,1,16-06-2025
4855,01-03-2025,01-03-2025,01-03-2025 01:26,Mumbai,103,Homicide,45,M,Poison,Violent Crime,15,0,
4856,22-10-2024,19-10-2024,19-10-2024 15:28,Jaipur,100,Assault,22,F,Blunt Object,Violent Crime,5,0,
4857,26-05-2025,26-05-2025,26-05-2025 21:33,Mumbai,102,Robbery,33,M,Knife,Property Crime,2,1,08-07-2025
4858,30-09-2024,27-09-2024,27-09-2024 18:07,Chennai,103,Homicide,10,M,Firearm,Violent Crime,15,1,23-02-2025
4859,17-03-2025,15-03-2025,15-03-2025 09:35,Pune,104,Cyber Crime,36,F,None,Other Crime,3,1,20-05-2025
4860,28-10-2024,25-10-2024,25-10-2024 22:05,Ahmedabad,101,Theft,25,F,Other,Property Crime,3,0,
4861,07-03-2025,06-03-2025,06-03-2025 10:38,Mumbai,106,Kidnapping,30,M,Blunt Object,Violent Crime,8,1,13-07-2025
4862,14-07-2025,13-07-2025,13-07-2025 13:07,Mumbai,104,Cyber Crime,20,M,None,Other Crime,2,0,
4863,12-01-2025,10-01-2025,10-01-2025 19:49,Bangalore,103,Homicide,26,F,Knife,Violent Crime,15,0,
4864,16-10-2024,13-10-2024,13-10-2024 18:50,Ahmedabad,105,Vandalism,10,M,None,Property Crime,3,1,04-03-2025
4865,10-08-2024,07-08-2024,07-08-2024 02:17,Hyderabad,107,Terrorism,26,F,Firearm,Violent Crime,20,0,
4866,21-01-2025,21-01-2025,21-01-2025 19:03,Delhi,101,Theft,25,M,None,Property Crime,7,0,
4867,15-04-2025,15-04-2025,15-04-2025 07:14,Kolkata,100,Assault,27,F,Knife,Violent Crime,6,0,
4868,24-08-2024,23-08-2024,23-08-2024 07:27,Bangalore,102,Robbery,21,M,Knife,Property Crime,5,0,
4869,31-05-2025,30-05-2025,30-05-2025 13:59,Delhi,106,Kidnapping,29,M,None,Violent Crime,3,0,
4870,19-02-2025,18-02-2025,18-02-2025 11:15,Kolkata,103,Homicide,19,F,Knife,Violent Crime,15,0,
4871,19-06-2025,18-06-2025,18-06-2025 19:02,Mumbai,104,Cyber Crime,32,M,None,Other Crime,4,1,01-07-2025
4872,12-03-2025,10-03-2025,10-03-2025 13:20,Delhi,102,Robbery,26,M,Blunt Object,Property Crime,3,1,14-03-2025
4873,25-07-2025,22-07-2025,22-07-2025 01:11,Bangalore,102,Robbery,42,F,Blunt Object,Property Crime,5,0,
4874,11-03-2025,11-03-2025,11-03-2025 15:38,Mumbai,100,Assault,41,M,None,Violent Crime,4,1,12-04-2025
4875,18-10-2024,17-10-2024,17-10-2024 18:36,Ahmedabad,104,Cyber Crime,42,M,None,Other Crime,3,1,22-06-2025
4876,25-02-2025,25-02-2025,25-02-2025 16:57,Kolkata,100,Assault,33,M,Knife,Violent Crime,8,0,
4877,06-03-2025,05-03-2025,05-03-2025 11:08,Mumbai,103,Homicide,22,F,Poison,Violent Crime,15,1,17-03-2025
4878,19-02-2025,18-02-2025,18-02-2025 13:31,Ahmedabad,100,Assault,23,M,Knife,Violent Crime,2,0,
4879,28-10-2024,26-10-2024,26-10-2024 13:08,Pune,100,Assault,35,F,None,Violent Crime,7,0,
4880,05-11-2024,05-11-2024,05-11-2024 23:11,Delhi,105,Vandalism,24,F,None,Property Crime,7,1,03-05-2025
4881,24-06-2025,21-06-2025,21-06-2025 11:56,Delhi,107,Terrorism,28,F,Explosives,Violent Crime,20,0,
4882,07-02-2025,04-02-2025,04-02-2025 11:09,Chennai,104,Cyber Crime,46,M,None,Other Crime,5,1,30-04-2025
4883,22-07-2025,21-07-2025,21-07-2025 19:57,Mumbai,100,Assault,33,M,None,Violent Crime,4,0,
4884,27-11-2024,27-11-2024,27-11-2024 07:21,Kolkata,103,Homicide,10,F,Poison,Violent Crime,15,1,23-03-2025
4885,12-09-2024,10-09-2024,10-09-2024 23:42,Ludhiana,100,Assault,29,F,None,Violent Crime,2,0,
4886,29-11-2024,28-11-2024,28-11-2024 18:38,Delhi,105,Vandalism,33,M,Other,Property Crime,2,0,
4887,01-02-2025,31-01-2025,31-01-2025 09:20,Mumbai,102,Robbery,31,M,Firearm,Property Crime,10,1,27-04-2025
4888,15-11-2024,12-11-2024,12-11-2024 22:13,Jaipur,103,Homicide,39,F,Firearm,Violent Crime,15,0,
4889,28-05-2025,27-05-2025,27-05-2025 12:04,Kolkata,101,Theft,25,M,Other,Property Crime,6,0,
4890,05-08-2025,05-08-2025,05-08-2025 13:58,Bangalore,101,Theft,24,M,None,Property Crime,8,1,05-08-2025
4891,23-02-2025,21-02-2025,21-02-2025 18:25,Chennai,103,Homicide,28,F,Knife,Violent Crime,15,0,
4892,15-12-2024,15-12-2024,15-12-2024 00:15,Delhi,100,Assault,36,F,Blunt Object,Violent Crime,2,0,
4893,22-02-2025,22-02-2025,22-02-2025 18:33,Chennai,103,Homicide,23,M,Knife,Violent Crime,15,0,
4894,01-07-2025,29-06-2025,29-06-2025 23:44,Ahmedabad,105,Vandalism,44,F,None,Property Crime,6,1,22-07-2025
4895,15-11-2024,15-11-2024,15-11-2024 13:02,Jaipur,101,Theft,46,M,Other,Property Crime,5,0,
4896,29-10-2024,26-10-2024,26-10-2024 03:34,Kolkata,101,Theft,30,F,Other,Property Crime,4,0,
4897,12-11-2024,11-11-2024,11-11-2024 23:21,Chennai,101,Theft,35,F,None,Property Crime,2,0,
4898,29-11-2024,26-11-2024,26-11-2024 18:09,Kolkata,107,Terrorism,22,F,Firearm,Violent Crime,20,1,21-01-2025
4899,11-06-2025,10-06-2025,10-06-2025 22:31,Kolkata,101,Theft,18,M,Other,Property Crime,6,0,
4900,29-09-2024,27-09-2024,27-09-2024 18:39,Mumbai,105,Vandalism,24,F,Other,Property Crime,6,0,
4901,06-07-2025,04-07-2025,04-07-2025 18:27,Kolkata,105,Vandalism,27,M,Other,Property Crime,5,0,
4902,30-04-2025,30-04-2025,30-04-2025 02:40,Mumbai,106,Kidnapping,23,M,None,Violent Crime,8,1,17-07-2025
4903,30-11-2024,28-11-2024,28-11-2024 03:19,Delhi,104,Cyber Crime,35,M,None,Other Crime,8,1,28-07-2025
4904,11-06-2025,11-06-2025,11-06-2025 01:16,Kolkata,102,Robbery,37,F,Knife,Property Crime,2,1,18-07-2025
4905,28-08-2024,28-08-2024,28-08-2024 16:25,Pune,100,Assault,44,F,None,Violent Crime,5,0,
4906,01-05-2025,01-05-2025,01-05-2025 07:36,Ahmedabad,100,Assault,14,M,None,Violent Crime,6,0,
4907,30-05-2025,28-05-2025,28-05-2025 21:19,Delhi,101,Theft,36,M,None,Property Crime,5,0,
4908,09-08-2024,06-08-2024,06-08-2024 21:10,Delhi,102,Robbery,28,M,Blunt Object,Property Crime,3,0,
4909,04-04-2025,01-04-2025,01-04-2025 09:31,Jaipur,102,Robbery,32,F,Blunt Object,Property Crime,6,1,05-08-2025
4910,23-12-2024,20-12-2024,20-12-2024 22:14,Hyderabad,103,Homicide,25,M,Poison,Violent Crime,15,1,24-03-2025
4911,25-01-2025,23-01-2025,23-01-2025 12:10,Chennai,106,Kidnapping,47,M,Blunt Object,Violent Crime,6,0,
4912,18-07-2025,16-07-2025,16-07-2025 02:59,Mumbai,101,Theft,30,F,Other,Property Crime,2,0,
4913,19-10-2024,18-10-2024,18-10-2024 23:07,Chennai,100,Assault,10,F,Knife,Violent Crime,8,0,
4914,08-05-2025,08-05-2025,08-05-2025 18:32,Delhi,101,Theft,40,M,None,Property Crime,2,0,
4915,16-01-2025,14-01-2025,14-01-2025 23:44,Mumbai,101,Theft,19,F,Other,Property Crime,3,0,
4916,20-12-2024,18-12-2024,18-12-2024 00:30,Chennai,103,Homicide,34,F,Poison,Violent Crime,15,0,
4917,02-03-2025,02-03-2025,02-03-2025 00:02,Ahmedabad,100,Assault,26,M,Blunt Object,Violent Crime,5,1,04-04-2025
4918,29-11-2024,29-11-2024,29-11-2024 23:22,Mumbai,101,Theft,29,F,None,Property Crime,8,1,05-07-2025
4919,22-12-2024,19-12-2024,19-12-2024 11:01,Mumbai,101,Theft,27,F,None,Property Crime,7,0,
4920,14-07-2025,13-07-2025,13-07-2025 10:56,Kolkata,104,Cyber Crime,21,F,None,Other Crime,2,1,30-07-2025
4921,25-08-2024,22-08-2024,22-08-2024 20:50,Mumbai,102,Robbery,48,M,Firearm,Property Crime,10,0,
4922,17-04-2025,15-04-2025,15-04-2025 00:44,Mumbai,104,Cyber Crime,13,F,None,Other Crime,7,1,20-04-2025
4923,29-07-2025,26-07-2025,26-07-2025 20:43,Hyderabad,104,Cyber Crime,24,F,None,Other Crime,5,1,31-07-2025
4924,25-07-2025,24-07-2025,24-07-2025 12:54,Bangalore,101,Theft,35,F,None,Property Crime,5,0,
4925,20-02-2025,20-02-2025,20-02-2025 18:45,Delhi,105,Vandalism,31,F,Other,Property Crime,7,0,
4926,22-03-2025,21-03-2025,21-03-2025 02:43,Mumbai,100,Assault,28,M,Knife,Violent Crime,3,0,
4927,18-09-2024,16-09-2024,16-09-2024 02:55,Mumbai,102,Robbery,17,F,Firearm,Property Crime,10,0,
4928,11-05-2025,10-05-2025,10-05-2025 22:40,Chennai,105,Vandalism,18,M,None,Property Crime,4,1,01-08-2025
4929,19-09-2024,16-09-2024,16-09-2024 09:58,Mumbai,101,Theft,24,M,Other,Property Crime,3,1,14-07-2025
4930,03-02-2025,03-02-2025,03-02-2025 01:15,Hyderabad,105,Vandalism,21,F,None,Property Crime,2,1,12-03-2025
4931,13-05-2025,10-05-2025,10-05-2025 02:34,Delhi,106,Kidnapping,21,F,Blunt Object,Violent Crime,6,0,
4932,14-02-2025,14-02-2025,14-02-2025 00:32,Delhi,100,Assault,32,M,Blunt Object,Violent Crime,7,0,
4933,09-07-2025,09-07-2025,09-07-2025 14:51,Mumbai,105,Vandalism,14,M,Other,Property Crime,2,0,
4934,01-03-2025,01-03-2025,01-03-2025 20:56,Kolkata,104,Cyber Crime,37,M,None,Other Crime,7,1,05-06-2025
4935,21-07-2025,18-07-2025,18-07-2025 02:34,Hyderabad,106,Kidnapping,33,F,Blunt Object,Violent Crime,5,1,26-07-2025
4936,31-05-2025,28-05-2025,28-05-2025 00:47,Delhi,100,Assault,23,M,Blunt Object,Violent Crime,7,0,
4937,15-03-2025,14-03-2025,14-03-2025 08:43,Mumbai,105,Vandalism,29,M,Other,Property Crime,4,0,
4938,29-08-2024,27-08-2024,27-08-2024 00:56,Bangalore,101,Theft,23,M,Other,Property Crime,8,0,
4939,19-10-2024,16-10-2024,16-10-2024 16:26,Chennai,104,Cyber Crime,25,M,None,Other Crime,3,0,
4940,08-06-2025,06-06-2025,06-06-2025 18:04,Mumbai,104,Cyber Crime,42,F,None,Other Crime,7,1,15-06-2025
4941,09-10-2024,07-10-2024,07-10-2024 18:25,Mumbai,106,Kidnapping,33,F,None,Violent Crime,5,0,
4942,13-02-2025,10-02-2025,10-02-2025 01:07,Mumbai,105,Vandalism,38,M,Other,Property Crime,6,1,04-05-2025
4943,09-06-2025,09-06-2025,09-06-2025 15:30,Pune,107,Terrorism,43,M,Explosives,Violent Crime,20,0,
4944,19-04-2025,18-04-2025,18-04-2025 20:11,Kolkata,106,Kidnapping,33,M,None,Violent Crime,5,1,23-05-2025
4945,26-05-2025,24-05-2025,24-05-2025 23:08,Delhi,100,Assault,18,M,None,Violent Crime,2,0,
4946,13-11-2024,10-11-2024,10-11-2024 18:22,Hyderabad,100,Assault,40,F,Knife,Violent Crime,5,0,
4947,15-08-2024,12-08-2024,12-08-2024 15:17,Chennai,100,Assault,49,M,None,Violent Crime,8,1,15-04-2025
4948,16-08-2024,13-08-2024,13-08-2024 07:43,Chennai,100,Assault,32,F,Blunt Object,Violent Crime,8,1,27-08-2024
4949,06-12-2024,03-12-2024,03-12-2024 22:41,Mumbai,101,Theft,23,M,Other,Property Crime,5,0,
4950,20-10-2024,18-10-2024,18-10-2024 10:38,Ahmedabad,103,Homicide,23,F,Poison,Violent Crime,15,1,24-06-2025
4951,08-12-2024,06-12-2024,06-12-2024 01:54,Delhi,107,Terrorism,30,M,Firearm,Violent Crime,20,0,
4952,03-05-2025,03-05-2025,03-05-2025 09:30,Ahmedabad,102,Robbery,28,F,Firearm,Property Crime,10,0,
4953,17-02-2025,14-02-2025,14-02-2025 09:05,Mumbai,101,Theft,30,M,None,Property Crime,8,0,
4954,13-11-2024,10-11-2024,10-11-2024 02:47,Chennai,104,Cyber Crime,33,M,None,Other Crime,2,1,28-07-2025
4955,10-05-2025,09-05-2025,09-05-2025 06:42,Bangalore,106,Kidnapping,59,F,None,Violent Crime,6,1,17-05-2025
4956,18-03-2025,17-03-2025,17-03-2025 18:54,Hyderabad,104,Cyber Crime,22,M,None,Other Crime,7,1,14-05-2025
4957,12-12-2024,09-12-2024,09-12-2024 16:23,Mumbai,100,Assault,18,M,Knife,Violent Crime,2,1,29-07-2025
4958,26-12-2024,24-12-2024,24-12-2024 02:10,Pune,101,Theft,38,M,None,Property Crime,4,0,
4959,04-09-2024,01-09-2024,01-09-2024 19:43,Delhi,104,Cyber Crime,45,F,None,Other Crime,3,0,
4960,25-10-2024,23-10-2024,23-10-2024 18:45,Delhi,102,Robbery,16,M,Blunt Object,Property Crime,3,1,19-07-2025
4961,26-08-2024,24-08-2024,24-08-2024 16:33,Ahmedabad,101,Theft,36,F,None,Property Crime,4,0,
4962,24-03-2025,24-03-2025,24-03-2025 21:09,Ahmedabad,102,Robbery,24,M,Knife,Property Crime,3,0,
4963,11-05-2025,09-05-2025,09-05-2025 12:00,Mumbai,106,Kidnapping,26,M,Blunt Object,Violent Crime,5,0,
4964,03-12-2024,01-12-2024,01-12-2024 23:49,Hyderabad,102,Robbery,39,F,Firearm,Property Crime,10,1,05-07-2025
4965,05-06-2025,03-06-2025,03-06-2025 06:07,Kolkata,100,Assault,30,F,Knife,Violent Crime,3,0,
4966,24-03-2025,22-03-2025,22-03-2025 21:38,Delhi,101,Theft,21,M,None,Property Crime,5,1,25-07-2025
4967,10-04-2025,08-04-2025,08-04-2025 21:59,Delhi,100,Assault,39,M,Blunt Object,Violent Crime,7,0,
4968,15-03-2025,15-03-2025,15-03-2025 08:17,Delhi,101,Theft,16,M,Other,Property Crime,8,0,
4969,29-09-2024,26-09-2024,26-09-2024 02:54,Hyderabad,102,Robbery,24,M,Blunt Object,Property Crime,4,1,17-04-2025
4970,14-03-2025,13-03-2025,13-03-2025 22:05,Pune,100,Assault,44,M,Knife,Violent Crime,7,1,23-07-2025
4971,08-07-2025,06-07-2025,06-07-2025 21:43,Kolkata,106,Kidnapping,41,M,None,Violent Crime,6,0,
